rowID,playerID,gameID,Year,Date,G#,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,TD,Pts,KRt,KRYds,Y/Rt,KRTD,PRet,PRYds,Y/R,PRTD,PassBonus,RushBonus,RecBonus,FPTs,
,77,2,1998,11/1/1998,8,26-032,ATL,,STL,W 37-15,22,172,7.82,2,4,2,31,15.5,1,50.00%,7.75,0,0,,0,0,0,,,,,,,,,,,,,,,,0,3,0,43.3,
,77,3,1997,11/2/1997,9,25-033,ATL,,STL,W 34-31,20,162,8.1,1,1,0,0,,0,0.00%,0,0,0,,0,0,0,,,,,,,,,,,,,,,,0,3,0,25.2,
,77,4,1997,12/21/1997,16,25-082,ATL,@,ARI,L 26-29,33,152,4.61,0,4,4,36,9,0,100.00%,9,0,1,0,0,0,1,,,,,,,,,,,,,,,,0,3,0,24.8,
,77,5,1998,12/13/1998,14,26-074,ATL,@,NOR,W 27-17,27,148,5.48,0,3,1,4,4,0,33.30%,1.33,0,0,,0,0,0,,,,,,,,,,,,,,,,0,3,0,19.2,
,77,6,1998,12/20/1998,15,26-081,ATL,@,DET,W 24-17,30,147,4.9,1,1,1,8,8,1,100.00%,8,0,0,,0,0,0,,,,,,,,,,,,,,,,0,3,0,31.5,
,77,7,1998,10/18/1998,6,26-018,ATL,,NOR,W 31-23,25,132,5.28,1,2,1,7,7,0,50.00%,3.5,0,0,,0,0,0,,,,,,,,,,,,,,,,0,3,0,23.9,
,77,8,1998,9/27/1998,3,25-362,ATL,@,SFO,L 20-31,13,123,9.46,1,4,2,43,21.5,0,50.00%,10.75,0,0,,0,0,0,,,,,,,,,,,,,,,,0,3,0,27.6,
,77,9,1998,12/6/1998,13,26-067,ATL,,IND,W 28-21,30,122,4.07,1,4,4,58,14.5,0,100.00%,14.5,0,0,,0,0,0,,,,,,,,,,,,,,,,0,3,0,31,
,77,10,2000,11/12/2000,11,28-043,ATL,@,DET,L 10-13,25,119,4.76,1,5,5,36,7.2,0,100.00%,7.2,0,0,,0,0,0,,,,,,,,,,,,,,,,0,3,0,29.5,
,77,11,2000,10/8/2000,6,28-008,ATL,,NYG,L 6-13,12,12,1,0,2,1,12,12,0,50.00%,6,0,0,,0,0,0,,,,,,,,,,,,,,,,0,0,0,3.4,
